Drug Name,Side Effects,Age Category,Medical Condition
Yaz,"Nausea, vomiting, headache, breast tenderness",Adult,"Birth control, acne treatment"
Adapalene/Benzoyl Peroxide,"Dryness, redness, peeling, itching",All,Acne treatment
Clindacin ETZ,"Dryness, redness, peeling, itching",All,"Bacterial infections, acne treatment"
Clindacin P,"Dryness, redness, peeling, itching",All,"Bacterial infections, acne treatment"
Clindacin PAC,"Dryness, redness, peeling, itching",All,"Bacterial infections, acne treatment"
ClindaReach Pledget,"Dryness, redness, peeling, itching",All,"Bacterial infections, acne treatment"
Clindets,"Dryness, redness, peeling, itching",All,"Bacterial infections, acne treatment"
Milk of Magnesia,"Upset stomach, diarrhea",All,Constipation relief
Septra DS,"Nausea, vomiting, diarrhea, skin rash",All,"Bacterial infections, urinary tract infections"
Yasmin,"Nausea, vomiting, headache, breast tenderness",Adult,"Birth control, acne treatment"
Ziana,"Dryness, peeling, redness, itching",All,Acne treatment
Absorica,"Dryness, peeling, itching, joint pain",All,Severe acne treatment
Acanya,"Dryness, redness, peeling, itching",All,Acne treatment
Amnesteem,"Dryness, peeling, itching, joint pain",All,Severe acne treatment
Azelaic Acid,"Burning, stinging, itching, redness",All,Acne treatment
Co-trimoxazole,"Nausea, vomiting, diarrhea, skin rash",All,"Bacterial infections, urinary tract infections"
Dapsone,"Nausea, vomiting, headache, dizziness",All,Bacterial infections
Duac,"Dryness, redness, peeling, itching",All,Acne treatment
Emcin Clear,"Dryness, redness, itching, burning",All,"Bacterial infections, acne treatment"
Epiduo Forte,"Dryness, redness, peeling, itching",All,Acne treatment
Erygel,"Burning, stinging, itching, redness",All,"Bacterial infections, acne treatment"
Ery Pads,"Burning, stinging, itching, redness",All,"Bacterial infections, acne treatment"
Myorisan,"Dryness, peeling, itching, joint pain",All,Severe acne treatment
Onexton,"Dryness, redness, peeling, itching",All,Acne treatment
Phillips' Milk of Magnesia,"Upset stomach, diarrhea",All,Constipation relief
Salicylic Acid,"Dryness, peeling, stinging, redness",All,Acne treatment
Spotex,"Dryness, redness, itching, skin irritation",All,Acne treatment
Theramycin Z,"Dryness, redness, itching, burning",All,"Bacterial infections, acne treatment"
Absorica LD,"Dryness, peeling, itching, joint pain",All,Severe acne treatment
Achromycin V,"Nausea, vomiting, diarrhea, stomach upset",All,Bacterial infections
Acne Treatment,"Dryness, peeling, redness, itching",All,Acne treatment
Acnex,"Dryness, peeling, itching, redness",All,Acne treatment
Ala-Tet,"Nausea, vomiting, diarrhea, stomach upset",All,Bacterial infections
Amzeeq,"Dryness, redness, itching, peeling",All,Acne treatment
Atralin,"Dryness, redness, itching, peeling",All,Acne treatment
Avita,"Dryness, redness, itching, peeling",All,Acne treatment
Azelex,"Burning, stinging, itching, redness",All,Acne treatment
Benzamycin,"Dryness, redness, itching, peeling",All,Acne treatment
Benzoyl Peroxide / Erythromycin,"Dryness, redness, itching, peeling",All,Acne treatment
Benzoyl Peroxide / Sulfur,"Dryness, redness, itching, peeling",All,Acne treatment
Beyaz,"Nausea, vomiting, headache, breast tenderness",All,"Birth control, acne treatment"
Brodspec,"Nausea, vomiting, diarrhea, stomach upset",All,Bacterial infections
Cleeravue-M,"Dryness, redness, itching, peeling",All,Acne treatment
Clindamycin / Tretinoin,"Dryness, redness, itching, peeling",All,Acne treatment
Drospirenone / Ethinyl Estradiol,"Nausea, vomiting, headache, breast tenderness",All,Birth control
Dynacin,"Nausea, vomiting, diarrhea, stomach upset",All,Bacterial infections
Estarylla,"Nausea, vomiting, headache, breast tenderness",All,Birth control
Ethinyl Estradiol / Norgestimate,"Nausea, vomiting, headache, breast tenderness",All,Birth control
Gianvi,"Nausea, vomiting, headache, breast tenderness",All,Birth control
Loryna,"Nausea, vomiting, headache, breast tenderness",All,Birth control
Magnesium Hydroxide,"Diarrhea, stomach cramps",All,Constipation relief
Minocycline,"Nausea, vomiting, dizziness, diarrhea",All,"Bacterial infections, acne treatment"
Minolira,"Nausea, vomiting, dizziness, diarrhea",All,"Bacterial infections, acne treatment"
Ocella,"Nausea, vomiting, headache, breast tenderness",All,Birth control
PanOxyl,"Dryness, redness, itching, peeling",All,Acne treatment
PanOxyl 10% Acne Foaming Wash,"Dryness, redness, itching, peeling",All,Acne treatment
Seysara,"Nausea, diarrhea, headache, dizziness",All,Acne treatment
Sotret,"Dryness, redness, itching, peeling",All,Acne treatment
Sulfacetamide Sodium/Sulfur,"Dryness, redness, itching, peeling",All,Acne treatment
Tazarotene,"Dryness, redness, itching, peeling",All,Acne treatment
Tri-Previfem,"Nausea, vomiting, headache, breast tenderness",All,Birth control
Tri-Sprintec,"Nausea, vomiting, headache, breast tenderness",All,Birth control
Veltin,"Dryness, redness, itching, peeling",All,Acne treatment
Ximino,"Nausea, vomiting, dizziness, diarrhea",All,"Bacterial infections, acne treatment"
Zenatane,"Dryness, redness, itching, peeling",All,Acne treatment
Acetoxyl,"Dryness, redness, itching, peeling",All,Acne treatment
Acne-10,"Dryness, redness, itching, peeling",All,Acne treatment
Acne-Clear,"Dryness, redness, itching, peeling",All,Acne treatment
Acnevir,"Dryness, redness, itching, peeling",All,Acne treatment
Acnomel,"Dryness, redness, itching, peeling",All,Acne treatment
Acnomel Acne Mask,"Dryness, redness, itching, peeling",All,Acne treatment
Acnomel BP 5,"Dryness, redness, itching, peeling",All,Acne treatment
Aklief,"Dryness, redness, itching, peeling",All,Acne treatment
Aktipak,"Dry skin, peeling, redness, itching, burning","Child, Adult",Acne treatment
Akurza,"Application site reactions (burning, stinging)","Child, Adult",Acne treatment
Aliclen,"Skin irritation, dryness, peeling, itching","Child, Adult",Acne treatment
Alquam-X Acne Therapy Gel,"Redness, peeling, dryness, itching","Child, Adult",Acne treatment
Altabax,"Application site reactions (burning, stinging)","Child, Adult",Bacterial skin infections
Altreno,"Dryness, redness, peeling, itching, stinging","Child, Adult",Acne treatment
Arazlo,"Dryness, redness, itching, peeling","Child, Adult",Acne treatment
Avar,"Skin irritation, dryness, peeling, redness, itching","Child, Adult",Acne treatment
Avar-E,"Skin irritation, dryness, peeling, redness, itching","Child, Adult",Acne treatment
Avar-E Green,"Skin irritation, dryness, peeling, redness, itching","Child, Adult",Acne treatment
Avar-E LS,"Skin irritation, dryness, peeling, redness, itching","Child, Adult",Acne treatment
Avar Cleanser,"Skin irritation, dryness, peeling, redness, itching","Child, Adult",Acne treatment
Avar LS,"Skin irritation, dryness, peeling, redness, itching","Child, Adult",Acne treatment
Avar LS Cleanser,"Skin irritation, dryness, peeling, redness, itching","Child, Adult",Acne treatment
Benzac,"Skin dryness, peeling, redness, stinging",all,Acne treatment
Benzac AC,"Skin dryness, peeling, redness, stinging",all,Acne treatment
Benzac AC Wash,"Skin dryness, peeling, redness, stinging",all,Acne treatment
Benzac W,"Skin dryness, peeling, redness, stinging",all,Acne treatment
Benzagel,"Skin dryness, peeling, redness, stinging",all,Acne treatment
Benzagel Wash,"Skin dryness, peeling, redness, stinging",all,Acne treatment
Benzamycin Pak,"Skin dryness, peeling, redness, itching",All,Acne treatment
Benzashave,"Skin dryness, stinging, burning",All,Shaving cream
BenzEFoam Ultra,"Skin dryness, peeling, redness, stinging",All,Acne treatment
BenzePro,"Skin dryness, peeling, redness, stinging",All,Acne treatment
Benziq,"Skin dryness, peeling, redness, itching, stinging",All,Acne treatment
benzoyl peroxide / hydrocortisone,"Skin dryness, peeling, redness, itching, stinging",All,Acne treatment
benzoyl peroxide / salicylic acid,"Skin dryness, peeling, redness, itching, stinging",All,Acne treatment
benzoyl peroxide / tretinoin,"Skin dryness, peeling, redness, itching, stinging",All,Acne treatment
Binora,"Skin dryness, peeling, redness, itching, stinging",All,Acne treatment
BP 10-Wash,"Skin dryness, peeling, redness, itching, stinging",All,Acne treatment
BPO 6 Foaming Cloths,"Skin dryness, peeling, redness, itching, stinging",All,Acne treatment
BPO Gel,"Skin dryness, peeling, redness, itching, stinging",All,Acne treatment
BP Wash,"Skin dryness, peeling, redness, itching, stinging",All,Acne treatment
Brevoxyl,"Skin dryness, peeling, redness, itching, stinging",All,Acne treatment
Brevoxyl Acne Wash Kit,"Skin dryness, peeling, redness, itching, stinging",All,Acne treatment
CeraVe SA Renewing,"Skin irritation, dryness, peeling, redness, itching",All,Skincare
Clarifoam EF,"Skin dryness, peeling, redness, itching, stinging",All,Acne treatment
clascoterone,"Skin irritation, redness, itching",All,Acne treatment
Cleanse & Treat,"Skin dryness, peeling, redness, itching, stinging",All,Acne treatment
Cleanse & Treat Plus,"Skin dryness, peeling, redness, itching, stinging",All,Acne treatment
Clearskin,"Skin dryness, redness, peeling, itching",All,Acne treatment
Compound W,"Skin irritation, redness, peeling",All,Wart removal
DermalZone,"Skin dryness, redness, peeling, itching",All,Acne treatment
DHS Salicylic Acid 3%,"Skin dryness, redness, peeling, itching",All,Acne treatment
drospirenone / ethinyl estradiol / levomefolate calcium,"Nausea, headache, breast tenderness, breakthrough bleeding",Adult (birth control),Oral contraceptive
Dulcolax Milk of Magnesia,"Diarrhea, stomach cramps",Adult (laxative),Constipation relief
Durasal,"Skin dryness, redness, peeling, stinging",All,Callus and wart treatment
Enzoclear Foam,"Skin dryness, redness, peeling, itching",All,Acne treatment
ethinyl estradiol / norethindrone,"Nausea, headache, breast tenderness, breakthrough bleeding",Adult (birth control),Oral contraceptive
Ex-Lax Milk of Magnesia,"Diarrhea, stomach cramps",Adult (laxative),Constipation relief
Fabior,"Skin dryness, redness, peeling, itching, stinging",All,Acne treatment
Fostex,"Skin dryness, redness, peeling, itching",All,Acne treatment
Fostex Medicated,"Skin dryness, redness, peeling, itching, stinging",All,Acne treatment
Fostex Medicated Cleansing Cream,"Skin dryness, redness, peeling, itching",All,Acne treatment
Fostex Wash 10%,"Skin dryness, redness, peeling, itching, stinging",All,Acne treatment
Hydrisalic,"Skin dryness, redness, peeling, itching",All,Acne treatment
Inova,"Skin dryness, redness, peeling, itching",All,Acne treatment
Inova 4/1,"Skin dryness, redness, peeling, itching",All,Acne treatment
Inova 8/2,"Skin dryness, redness, peeling, itching",All,Acne treatment
Jasmiel,"Nausea, headache, breast tenderness, breakthrough bleeding",Adult (birth control),Oral contraceptive
Liquimat Light,"Skin dryness, redness, peeling, itching",All,Acne treatment
Liquimat Medium,"Skin dryness, redness, peeling, itching",All,Acne treatment
Lo-Zumandimine,"Skin dryness, redness, peeling, itching",All,Acne treatment
Meted,"Skin dryness, redness, peeling, itching",All,Acne treatment
Mono-Linyah,"Nausea, headache, breast tenderness, breakthrough bleeding",Adult (birth control),Oral contraceptive
Neuac,"Skin dryness, redness, peeling, itching",All,Acne treatment
Neutrogena Clear Pore Cleanser/Mask,"Skin dryness, redness, peeling, itching",All,Acne treatment
Neutrogena Rapid Clear Stubborn Acne,"Skin dryness, redness, peeling, itching",All,Acne treatment
Nikki,"Nausea, headache, breast tenderness, breakthrough bleeding",Adult (birth control),Oral contraceptive
Oscion,"Skin dryness, redness, peeling, itching",All,Acne treatment
Oxy-10,"Skin dryness, redness, peeling, itching",All,Acne treatment
Oxy Daily Wash,"Skin dryness, redness, peeling, itching",All,Acne treatment
P & S,"Skin dryness, redness, peeling, itching",All,Psoriasis and acne treatment
PanOxyl 4% Acne Creamy Wash,"Skin dryness, redness, peeling, itching",All,Acne treatment
Pernox,"Skin dryness, redness, peeling, itching",All,Acne treatment
Persa-Gel,"Skin dryness, redness, peeling, itching",All,Acne treatment
Plexion,"Skin dryness, redness, peeling, itching",All,Acne treatment
Propa pH Acne Med Cleansing,"Skin dryness, redness, peeling, itching",All,Acne treatment
R A Acne,"Skin dryness, redness, peeling, itching",All,Acne treatment
Resinol,"Skin dryness, redness, peeling, itching",All,Skin protectant
Resorcinol / Sulfur,"Skin dryness, redness, peeling, itching",All,Acne treatment
Resorcinol,"Skin dryness, redness, peeling, itching",All,Skin protectant
Retapamulin,"Skin redness, itching, burning, irritation",All,Topical antibiotic cream
Riax,"Skin dryness, redness, peeling, itching",All,Acne treatment
Sal-Plant Gel,"Skin dryness, redness, peeling, itching",All,Skin protectant
Salactic Film,"Skin dryness, redness, peeling, itching",All,Corn and callus remover
Salex,"Skin dryness, redness, peeling, itching",All,Keratolytic agent
Salicylic Acid / Sulfur,"Skin dryness, redness, peeling, itching",All,Acne treatment
Salvax,"Skin dryness, redness, peeling, itching",All,Skin protectant
Sarecycline,"Nausea, headache, diarrhea, allergic reactions",Adult,Oral antibiotic for acne treatment
SAStid,"Skin dryness, redness, peeling, itching",All,Acne treatment
Scalpicin Scalp Relief,"Scalp dryness, burning, stinging",All,Scalp relief
Sebulex,"Scalp dryness, itching, irritation",All,Dandruff and seborrheic dermatitis
SoluCLENZ Rx,"Skin dryness, redness, peeling, itching",All,Acne treatment
SSS 10-4,"Skin dryness, redness, peeling, itching",All,Acne treatment
SSS 10-5,"Skin dryness, redness, peeling, itching",All,Acne treatment
SSS Cleanser,"Skin dryness, redness, peeling, itching",All,Acne treatment
Stri-Dex,"Skin dryness, redness, peeling, itching",All,Acne treatment
Stridex Body Focus,"Skin dryness, redness, peeling, itching",All,Acne treatment
Stridex Maximum Strength,"Skin dryness, redness, peeling, itching",All,Acne treatment
Sulfacleanse 8/4,"Skin dryness, redness, peeling, itching",All,Acne treatment
Sulfoam,"Skin dryness, redness, peeling, itching",All,Acne treatment
Sulfur,"Skin dryness, redness, peeling, itching",All,Skin protectant
Sulpho-Lac Soap,"Skin dryness, redness, peeling, itching",All,Acne treatment
Sumadan,"Skin dryness, redness, peeling, itching",All,Acne treatment
Sumaxin,"Skin dryness, redness, peeling, itching",All,Acne treatment
Suphera,"Skin dryness, redness, peeling, itching",All,Acne treatment
Syeda,"Nausea, headache, breast tenderness, mood changes",Adult,Oral contraceptive
Tinamed Plantar,"Skin dryness, redness, peeling, itching",All,Callus and corn remover
Tri-Estarylla,"Nausea, headache, breast tenderness, mood changes",Adult,Oral contraceptive
Tri-Linyah,"Nausea, headache, breast tenderness, mood changes",Adult,Oral contraceptive
Tri-Lo-Marzia,"Nausea, headache, breast tenderness, mood changes",Adult,Oral contraceptive
Trifarotene,"Skin dryness, redness, peeling, itching",All,Topical retinoid for acne treatment
Twyneo,"Skin dryness, redness, peeling, itching",All,Acne treatment
Vanoxide-HC,"Skin dryness, redness, peeling, itching",All,Acne treatment
Winlevi,"Skin dryness, redness, peeling, itching",All,Acne treatment
Z-Clinz 10,"Skin dryness, redness, peeling, itching",All,Acne treatment
Zarah,"Nausea, headache, breast tenderness, mood changes",Adult,Oral contraceptive
Zumandimine,"Skin dryness, redness, peeling, itching",All,Acne treatment
Vyvanse,"Nausea, vomiting, insomnia, decreased appetite",Adult,Attention deficit hyperactivity disorder (ADHD) treatment
Adderall,"Nervousness, restlessness, insomnia, increased heart rate, loss of appetite, dry mouth",Adult,Attention deficit hyperactivity disorder (ADHD) treatment
Adderall XR,"Nervousness, restlessness, insomnia, increased heart rate, loss of appetite, dry mouth",Adult,Attention deficit hyperactivity disorder (ADHD) treatment
Concerta,"Nervousness, insomnia, decreased appetite, increased heart rate, elevated blood pressure",Adult,Attention deficit hyperactivity disorder (ADHD) treatment
Lisdexamfetamine,"Nervousness, restlessness, insomnia, decreased appetite, increased heart rate",Adult,Attention deficit hyperactivity disorder (ADHD) treatment
Daytrana,"Irritation at the application site, decreased appetite, insomnia, mood changes","Pediatric, Adolescent, Adult",Attention deficit hyperactivity disorder (ADHD) treatment
Quillivant XR,"Nervousness, insomnia, decreased appetite, increased heart rate, elevated blood pressure","Pediatric, Adolescent",Attention deficit hyperactivity disorder (ADHD) treatment
Amantadine,"Nausea, dizziness, insomnia, dry mouth",Adult,Parkinson's disease treatment
Cotempla XR-ODT,"Decreased appetite, insomnia, increased heart rate, elevated blood pressure","Pediatric, Adolescent",Attention deficit hyperactivity disorder (ADHD) treatment
Jornay PM,"Decreased appetite, insomnia, increased heart rate, elevated blood pressure","Pediatric, Adolescent",Attention deficit hyperactivity disorder (ADHD) treatment
Methylphenidate,"Nervousness, insomnia, decreased appetite, increased heart rate, elevated blood pressure","Pediatric, Adolescent, Adult",Attention deficit hyperactivity disorder (ADHD) treatment
QuilliChew ER,"Nervousness, insomnia, decreased appetite, increased heart rate, elevated blood pressure","Pediatric, Adolescent",Attention deficit hyperactivity disorder (ADHD) treatment
Azstarys,"Nervousness, insomnia, decreased appetite, increased heart rate, elevated blood pressure","Pediatric, Adolescent",Attention deficit hyperactivity disorder (ADHD) treatment
Qelbree,"Drowsiness, nausea, decreased appetite, fatigue",Pediatric,Attention deficit hyperactivity disorder (ADHD) treatment
Strattera,"Upset stomach, decreased appetite, nausea, vomiting, dizziness","Pediatric, Adolescent, Adult",Attention deficit hyperactivity disorder (ADHD) treatment
Dexedrine,"Nervousness, restlessness, insomnia, increased heart rate, loss of appetite, dry mouth",Adult,Attention deficit hyperactivity disorder (ADHD) treatment
Amphetamine / Dextroamphetamine,"Nervousness, restlessness, insomnia, increased heart rate, loss of appetite, dry mouth",Adult,Attention deficit hyperactivity disorder (ADHD) treatment
Ritalin,"Nervousness, insomnia, decreased appetite, increased heart rate, elevated blood pressure","Pediatric, Adolescent, Adult",Attention deficit hyperactivity disorder (ADHD) treatment
Dextroamphetamine,"Nervousness, restlessness, insomnia, increased heart rate, loss of appetite, dry mouth",Adult,Attention deficit hyperactivity disorder (ADHD) treatm
Bupropion,"Insomnia, dry mouth, headache, nausea, increased heart rate, agitation",Adult,"Depression, smoking cessation"
Clonidine,"Dry mouth, drowsiness, dizziness, constipation, low blood pressure","Pediatric, Adolescent, Adult","Attention deficit hyperactivity disorder (ADHD) treatment, hypertension"
Intuniv,"Drowsiness, fatigue, headache, stomach pain, low blood pressure","Pediatric, Adolescent, Adult",Attention deficit hyperactivity disorder (ADHD) treatment
Desoxyn,"Decreased appetite, weight loss, increased heart rate, insomnia, dry mouth","Adolescent, Adult","Attention deficit hyperactivity disorder (ADHD) treatment, narcolepsy"
Guanfacine,"Drowsiness, dizziness, constipation, dry mouth, low blood pressure","Pediatric, Adolescent, Adult",Attention deficit hyperactivity disorder (ADHD) treatment
Focalin,"Decreased appetite, insomnia, increased heart rate, anxiety, stomach pain","Pediatric, Adolescent, Adult",Attention deficit hyperactivity disorder (ADHD) treatment
Atomoxetine,"Nausea, decreased appetite, insomnia, dry mouth, increased heart rate","Pediatric, Adolescent, Adult",Attention deficit hyperactivity disorder (ADHD) treatment
Focalin XR,"Decreased appetite, insomnia, increased heart rate, anxiety, stomach pain","Pediatric, Adolescent, Adult",Attention deficit hyperactivity disorder (ADHD) treatment
Amphetamine,"Nervousness, restlessness, insomnia, increased heart rate, loss of appetite, dry mouth",Adult,Attention deficit hyperactivity disorder (ADHD) treatment
Ritalin LA,"Decreased appetite, insomnia, increased heart rate, anxiety, stomach pain","Pediatric, Adolescent, Adult",Attention deficit hyperactivity disorder (ADHD) treatment
Kapvay,"Drowsiness, dizziness, constipation, dry mouth, low blood pressure","Pediatric, Adolescent, Adult",Attention deficit hyperactivity disorder (ADHD) treatment
Methylin,"Decreased appetite, insomnia, increased heart rate, anxiety, stomach pain","Pediatric, Adolescent, Adult",Attention deficit hyperactivity disorder (ADHD) treatment
Dexmethylphenidate,"Decreased appetite, insomnia, increased heart rate, anxiety, stomach pain","Pediatric, Adolescent, Adult",Attention deficit hyperactivity disorder (ADHD) treatment
Methamphetamine,"Nervousness, restlessness, insomnia, increased heart rate, loss of appetite, dry mouth",Adult,Attention deficit hyperactivity disorder (ADHD) treatment
Modafinil,"Headache, nausea, nervousness, insomnia, dry mouth",Adult,"Narcolepsy, shift work sleep disorder"
Metadate CD,"Decreased appetite, insomnia, increased heart rate, anxiety, stomach pain","Pediatric, Adolescent, Adult",Attention deficit hyperactivity disorder (ADHD) treatment
Methylin ER,"Decreased appetite, insomnia, increased heart rate, anxiety, stomach pain","Pediatric, Adolescent, Adult",Attention deficit hyperactivity disorder (ADHD) treatment
Omega-3 polyunsaturated fatty acids,"Fishy taste, bad breath, nausea, diarrhea",Adult,Adjunctive treatment for attention deficit hyperactivity disorder (ADHD)
ProCentra,"Nervousness, restlessness, insomnia, increased heart rate, loss of appetite, dry mouth","Pediatric, Adolescent, Adult",Attention deficit hyperactivity disorder (ADHD) treatment
Selegiline,"Nausea, dizziness, headache, dry mouth, insomnia",Adult,"Parkinson's disease, depression"
Zenzedi,"Nervousness, restlessness, insomnia, increased heart rate, loss of appetite, dry mouth","Adolescent, Adult","Attention deficit hyperactivity disorder (ADHD) treatment, narcolepsy"
Adhansia XR,"Decreased appetite, insomnia, increased heart rate, anxiety, stomach pain","Pediatric, Adolescent, Adult",Attention deficit hyperactivity disorder (ADHD) treatment
Aptensio XR,"Decreased appetite, insomnia, increased heart rate, anxiety, stomach pain","Pediatric, Adolescent, Adult",Attention deficit hyperactivity disorder (ADHD) treatment
Armodafinil,"Headache, nausea, dizziness, insomnia",Adult,"Narcolepsy, shift work sleep disorder"
Desvenlafaxine,"Nausea, headache, dizziness, insomnia",Adult,"Depression, anxiety disorder"
Evekeo,"Nervousness, restlessness, insomnia, increased heart rate, loss of appetite, dry mouth","Pediatric, Adolescent, Adult",Attention deficit hyperactivity disorder (ADHD) treatment
Mydayis,"Decreased appetite, insomnia, increased heart rate, anxiety, stomach pain","Adolescent, Adult",Attention deficit hyperactivity disorder (ADHD) treatment
Relexxii,"Headache, nausea, vomiting, dry mouth, constipation, dizziness",Adult,Migraine prevention
Adzenys ER,"Nervousness, restlessness, insomnia, increased heart rate, loss of appetite, dry mouth","Pediatric, Adolescent, Adult",Attention deficit hyperactivity disorder (ADHD) treatment
Adzenys XR-ODT,"Nervousness, restlessness, insomnia, increased heart rate, loss of appetite, dry mouth","Pediatric, Adolescent, Adult",Attention deficit hyperactivity disorder (ADHD) treatment
Desipramine,"Dry mouth, constipation, blurred vision, dizziness, drowsiness","Pediatric, Adolescent, Adult",Depression
Dyanavel XR,"Decreased appetite, insomnia, increased heart rate, anxiety, stomach pain","Pediatric, Adolescent",Attention deficit hyperactivity disorder (ADHD) treatment
Evekeo ODT,"Nervousness, restlessness, insomnia, increased heart rate, loss of appetite, dry mouth","Pediatric, Adolescent",Attention deficit hyperactivity disorder (ADHD) treatment
Imipramine,"Dry mouth, constipation, blurred vision, dizziness, drowsiness","Pediatric, Adolescent, Adult","Depression, enuresis (bed-wetting)"
Dexmethylphenidate/serdexmethylphenidate,"Decreased appetite, insomnia, increased heart rate, anxiety, stomach pain","Pediatric, Adolescent",Attention deficit hyperactivity disorder (ADHD) treatment
Viloxazine,"Nausea, headache, abdominal pain, drowsiness, dizziness","Pediatric, Adolescent",Attention deficit hyperactivity disorder (ADHD) treatment
Truvada,"Nausea, vomiting, diarrhea, dizziness, fatigue",Adult,HIV-1 infection
Biktarvy,"Nausea, diarrhea, headache, fatigue, abdominal pain",Adult,HIV-1
Triumeq,"Nausea, headache, fatigue, diarrhea, rash, fever, abdominal pain",Adult,HIV-1 infection
Genvoya,"Nausea, diarrhea, headache, fatigue, abdominal pain, dizziness, insomnia",Adult,HIV-1 infection
Stribild,"Nausea, diarrhea, headache, fatigue, abdominal pain, dizziness, insomnia, rash",Adult,HIV-1 infection
Atripla,"Dizziness, nausea, diarrhea, fatigue, abnormal dreams, depression, rash",Adult,HIV-1 infection
Descovy,"Nausea, diarrhea, headache, fatigue, dizziness, abdominal pain, decreased bone mineral density",Adult,HIV-1 infection
Norvir,"Nausea, diarrhea, vomiting, abdominal pain, headache, fatigue",Adult,HIV-1 infection
Isentress,"Nausea, headache, fatigue, diarrhea, insomnia, dizziness",Adult,HIV-1 infection
